code_com,type_nom,nom,inscrits
01001,5,Abergement-Clémenciat,644
01002,5,Abergement-de-Varey,218
01004,1,Ambérieu-en-Bugey,8845
01005,1,Ambérieux-en-Dombes,1299
01006,1,Ambléon,101
01007,1,Ambronay,2039
01008,1,Ambutrix,553
01009,1,Andert-et-Condon,284
01010,1,Anglefort,801
01011,1,Apremont,288
01012,1,Aranc,288
01013,1,Arandas,121
01014,1,Arbent,2264
01015,1,Arboys en Bugey,564
01016,1,Arbigny,327
01017,1,Argis,313
01019,1,Armix,40
01021,1,Ars-sur-Formans,1049
01022,1,Artemare,882
01023,1,Asnières-sur-Saône,60
01024,1,Attignat,2455
01025,0,Bâgé-Dommartin,3060
01026,0,Bâgé-le-Châtel,618
01027,0,Balan,1283
01028,0,Baneins,436
01029,0,Beaupont,446
01030,0,Beauregard,582
01031,0,Bellignat,1868
01032,0,Béligneux,2038
01033,0,Valserhône,9553
01034,0,Belley,5987
01035,0,Belleydoux,274
01036,0,Valromey-sur-Séran,1102
01037,0,Bénonces,245
01038,0,Bény,604
01040,0,Béréziat,362
01041,0,Bettant,572
01042,0,Bey,251
01043,0,Beynost,3760
01044,0,Billiat,441
01045,0,Birieux,204
01046,0,Biziat,650
01047,0,Blyes,884
01049,3,Boisse,2382
01050,0,Boissey,262
01051,0,Bolozon,80
01052,0,Bouligneux,265
01053,0,Bourg-en-Bresse,23357
01054,0,Bourg-Saint-Christophe,1093
01056,0,Boyeux-Saint-Jérôme,322
01057,0,Boz,391
01058,0,Brégnier-Cordon,654
01060,0,Brénod,439
01061,0,Brens,955
01062,0,Bressolles,715
01063,0,Brion,428
01064,0,Briord,798
01065,0,Buellas,1409
01066,3,Burbanche,92
01067,0,Ceignes,207
01068,0,Cerdon,563
01069,0,Certines,1169
01071,0,Cessy,2899
01072,0,Ceyzériat,2418
01073,0,Ceyzérieu,882
01074,0,Chalamont,1784
01075,0,Chaleins,992
01076,0,Chaley,129
01077,0,Challes-la-Montagne,144
01078,0,Challex,822
01079,0,Champagne-en-Valromey,566
01080,0,Champdor-Corcelles,539
01081,0,Champfromier,521
01082,0,Chanay,361
01083,0,Chaneins,778
01084,0,Chanoz-Châtenay,647
